ship,survey,event_id,species_code,specimen_id,fork_length,organism_weight,age,sex,eq_longitude
157,201006,12,21740,95,55.8,1.684,8,Unsexed,-163.6419
157,201006,12,21740,97,63.9,1.674,13,Female,-163.6419
157,201006,12,21740,134,62.3,1.596,12,Female,-163.6419
157,201006,12,21740,139,56.5,1.05,8,Male,-163.6419
157,201006,12,21740,147,57.9,1.298,6,Female,-163.6419
157,201006,12,21740,158,67.1,2.444,9,Female,-163.6419
157,201006,12,21740,173,57.7,1.244,11,Male,-163.6419
157,201006,12,21740,176,77.5,2.554,18,Female,-163.6419
157,201006,12,21740,178,66.2,2.146,15,Male,-163.6419
157,201006,12,21740,96,62.9,1.89,13,Male,-163.6419
157,201006,12,21740,118,59.5,1.776,15,Male,-163.6419
157,201006,12,21740,131,58.2,1.11,10,Female,-163.6419
157,201006,12,21740,133,59.9,1.598,14,Male,-163.6419
157,201006,12,21740,149,62.2,1.908,9,Female,-163.6419
157,201006,12,21740,162,65.5,2.418,10,Female,-163.6419
157,201006,12,21740,166,62.9,1.8,10,Female,-163.6419
157,201006,12,21740,169,60.6,1.744,13,Female,-163.6419
157,201006,12,21740,124,61.1,1.356,7,Male,-163.6419
157,201006,12,21740,167,61.6,1.912,14,Female,-163.6419
157,201006,12,21740,177,65.7,2.27,12,Male,-163.6419
157,201006,12,21740,100,68.1,2.002,15,Female,-163.6419
157,201006,12,21740,101,57.1,1.396,8,Female,-163.6419
157,201006,12,21740,109,59.3,1.65,11,Female,-163.6419
157,201006,12,21740,128,62.1,1.626,13,Female,-163.6419
157,201006,12,21740,135,64.9,1.728,9,Female,-163.6419
157,201006,12,21740,137,58.8,1.53,12,Female,-163.6419
157,201006,12,21740,143,60.5,1.782,9,Male,-163.6419
157,201006,12,21740,161,64.2,2.012,10,Female,-163.6419
157,201006,12,21740,103,60.9,1.856,9,Female,-163.6419
157,201006,12,21740,114,56.3,1.22,15,Male,-163.6419
157,201006,12,21740,115,53.8,0.986,7,Female,-163.6419
157,201006,12,21740,119,66.5,2.384,11,Male,-163.6419
157,201006,12,21740,122,67.1,2.454,11,Female,-163.6419
157,201006,12,21740,123,68.1,2.846,14,Female,-163.6419
157,201006,12,21740,127,42.2,0.544,4,Female,-163.6419
157,201006,12,21740,132,63.4,1.8,10,Female,-163.6419
157,201006,12,21740,145,68.3,2.264,18,Male,-163.6419
157,201006,12,21740,163,60.5,1.548,11,Male,-163.6419
157,201006,12,21740,170,57.7,1.492,9,Female,-163.6419
157,201006,12,21740,181,61.8,1.79,10,Female,-163.6419
157,201006,12,21740,99,64.1,1.948,15,Male,-163.6419
157,201006,12,21740,105,54.7,1.256,10,Male,-163.6419
157,201006,12,21740,106,67.2,2.078,11,Female,-163.6419
157,201006,12,21740,108,65.9,2.368,8,Female,-163.6419
157,201006,12,21740,111,59.8,1.508,8,Unsexed,-163.6419
157,201006,12,21740,113,62.0,1.836,10,Female,-163.6419
157,201006,12,21740,116,59.4,1.468,13,Male,-163.6419
157,201006,12,21740,125,64.2,2.11,12,Female,-163.6419
157,201006,12,21740,144,69.6,2.36,9,Female,-163.6419
157,201006,12,21740,146,54.5,1.06,10,Female,-163.6419
157,201006,12,21740,148,57.6,1.74,8,Male,-163.6419
157,201006,12,21740,165,67.8,2.374,13,Female,-163.6419
157,201006,12,21740,179,61.0,1.64,9,Male,-163.6419
157,201006,12,21740,98,60.5,1.642,12,Male,-163.6419
157,201006,12,21740,102,59.1,1.418,11,Male,-163.6419
157,201006,12,21740,104,48.8,0.78,6,Male,-163.6419
157,201006,12,21740,110,76.3,2.676,12,Female,-163.6419
157,201006,12,21740,117,39.4,0.432,3,Male,-163.6419
157,201006,12,21740,121,60.9,1.686,13,Female,-163.6419
157,201006,12,21740,126,57.9,1.324,11,Male,-163.6419
157,201006,12,21740,129,61.2,1.926,12,Male,-163.6419
157,201006,12,21740,141,69.2,2.466,10,Female,-163.6419
157,201006,12,21740,142,62.3,1.754,14,Female,-163.6419
157,201006,12,21740,164,61.0,1.648,11,Male,-163.6419
157,201006,12,21740,171,60.4,1.864,10,Female,-163.6419
157,201006,12,21740,174,61.1,1.894,10,Female,-163.6419
157,201006,12,21740,182,60.9,1.71,11,Male,-163.6419
157,201006,12,21740,107,36.0,0.32,3,Female,-163.6419
157,201006,12,21740,112,66.9,1.832,10,Female,-163.6419
157,201006,12,21740,120,44.3,0.682,5,Female,-163.6419
157,201006,12,21740,130,62.7,1.746,9,Female,-163.6419
157,201006,12,21740,136,64.6,2.434,9,Female,-163.6419
157,201006,12,21740,138,67.0,2.224,11,Female,-163.6419
157,201006,12,21740,140,67.7,2.868,14,Female,-163.6419
157,201006,12,21740,168,67.8,2.354,11,Female,-163.6419
157,201006,12,21740,172,68.0,2.244,12,Female,-163.6419
157,201006,12,21740,175,64.3,1.772,11,Male,-163.6419
157,201006,12,21740,180,52.9,1.108,11,Male,-163.6419
157,201006,13,21740,191,57.5,1.574,11,Female,-164.2259
157,201006,13,21740,194,69.8,2.438,13,Female,-164.2259
157,201006,13,21740,220,51.8,1.178,10,Male,-164.2259
157,201006,13,21740,240,50.3,1.08,5,Female,-164.2259
157,201006,13,21740,193,60.6,1.804,11,Female,-164.2259
157,201006,13,21740,210,49.7,0.95,7,Male,-164.2259
157,201006,13,21740,212,62.6,1.908,9,Female,-164.2259
157,201006,13,21740,228,55.3,1.302,7,Male,-164.2259
157,201006,13,21740,239,56.4,1.49,6,Male,-164.2259
157,201006,13,21740,242,55.8,1.328,7,Male,-164.2259
157,201006,13,21740,217,56.8,1.634,9,Male,-164.2259
157,201006,13,21740,287,34.1,0.322,2,Male,-164.2259
157,201006,13,21740,200,65.4,2.224,14,Male,-164.2259
157,201006,13,21740,207,57.9,1.52,13,Male,-164.2259
157,201006,13,21740,208,57.6,1.266,6,Female,-164.2259
157,201006,13,21740,214,56.4,1.546,6,Female,-164.2259
157,201006,13,21740,219,40.0,0.542,4,Male,-164.2259
157,201006,13,21740,226,56.3,1.398,9,Male,-164.2259
157,201006,13,21740,229,60.1,1.504,10,Female,-164.2259
157,201006,13,21740,233,57.2,1.408,8,Female,-164.2259
157,201006,13,21740,235,54.6,1.16,11,Male,-164.2259
157,201006,13,21740,236,59.0,1.516,8,Female,-164.2259
157,201006,13,21740,238,53.8,1.19,8,Male,-164.2259
157,201006,13,21740,241,51.2,0.91,6,Female,-164.2259
157,201006,13,21740,243,57.1,1.502,9,Male,-164.2259
157,201006,13,21740,244,44.2,0.668,4,Male,-164.2259
157,201006,13,21740,249,48.2,0.906,6,Female,-164.2259
157,201006,13,21740,251,59.5,1.186,9,Female,-164.2259
157,201006,13,21740,252,59.6,1.636,17,Male,-164.2259
157,201006,13,21740,254,52.7,1.082,8,Female,-164.2259
157,201006,13,21740,284,57.0,1.198,13,Male,-164.2259
157,201006,13,21740,355,54.6,1.432,9,Male,-164.2259
157,201006,13,21740,211,66.2,2.092,11,Female,-164.2259
157,201006,13,21740,215,58.0,1.338,10,Male,-164.2259
157,201006,13,21740,218,61.7,1.586,9,Female,-164.2259
157,201006,13,21740,223,58.2,1.234,8,Female,-164.2259
157,201006,13,21740,227,51.4,0.998,5,Female,-164.2259
157,201006,13,21740,230,46.7,0.782,6,Female,-164.2259
157,201006,13,21740,231,54.1,1.256,10,Male,-164.2259
157,201006,13,21740,237,65.2,2.064,8,Female,-164.2259
157,201006,13,21740,246,52.2,0.842,9,Female,-164.2259
157,201006,13,21740,256,44.8,0.766,3,Male,-164.2259
157,201006,13,21740,257,54.1,1.206,11,Male,-164.2259
157,201006,13,21740,286,44.9,0.744,5,Female,-164.2259
157,201006,13,21740,205,57.8,1.422,6,Male,-164.2259
157,201006,13,21740,222,57.5,1.408,9,Male,-164.2259
157,201006,13,21740,234,49.4,0.908,5,Male,-164.2259
157,201006,13,21740,245,60.8,1.726,10,Female,-164.2259
157,201006,13,21740,247,61.9,1.81,10,Male,-164.2259
157,201006,13,21740,250,51.7,1.164,6,Male,-164.2259
157,201006,13,21740,285,50.7,1.038,6,Female,-164.2259
157,201006,13,21740,209,50.8,1.094,6,Female,-164.2259
157,201006,13,21740,213,41.6,0.646,3,Male,-164.2259
157,201006,13,21740,216,62.5,1.78,10,Male,-164.2259
157,201006,13,21740,221,59.8,1.61,8,Male,-164.2259
157,201006,13,21740,224,53.2,1.344,8,Male,-164.2259
157,201006,13,21740,253,47.4,0.73,5,Male,-164.2259
157,201006,13,21740,255,56.9,1.278,8,Female,-164.2259
157,201006,13,21740,192,64.1,1.948,11,Female,-164.2259
157,201006,13,21740,225,60.1,1.668,9,Female,-164.2259
157,201006,13,21740,232,47.7,0.928,6,Male,-164.2259
157,201006,13,21740,248,68.0,2.452,10,Male,-164.2259
157,201006,15,21740,475,52.0,1.018,5,Male,-164.7899
157,201006,15,21740,505,61.2,1.716,9,Male,-164.7899
157,201006,15,21740,506,56.0,1.342,9,Male,-164.7899
157,201006,15,21740,508,50.1,0.91,6,Male,-164.7899
157,201006,15,21740,510,55.3,1.264,10,Male,-164.7899
157,201006,15,21740,567,49.2,0.82,5,Female,-164.7899
157,201006,15,21740,616,54.5,1.42,10,Male,-164.7899
157,201006,15,21740,628,49.6,0.888,5,Male,-164.7899
157,201006,15,21740,632,49.5,0.85,5,Male,-164.7899
157,201006,15,21740,507,49.0,0.886,5,Male,-164.7899
157,201006,15,21740,519,44.2,0.614,6,Male,-164.7899
157,201006,15,21740,550,45.7,0.804,5,Female,-164.7899
157,201006,15,21740,559,54.7,1.344,8,Male,-164.7899
157,201006,15,21740,576,50.7,1.168,5,Male,-164.7899
157,201006,15,21740,706,56.2,1.286,10,Female,-164.7899
157,201006,15,21740,509,55.1,1.38,9,Male,-164.7899
157,201006,15,21740,512,42.3,0.634,3,Male,-164.7899
157,201006,15,21740,517,49.8,0.9,5,Female,-164.7899
157,201006,15,21740,520,62.5,1.552,10,Male,-164.7899
157,201006,15,21740,525,56.6,1.258,11,Male,-164.7899
157,201006,15,21740,572,43.3,0.618,4,Female,-164.7899
157,201006,15,21740,594,49.7,0.94,5,Male,-164.7899
157,201006,15,21740,709,61.2,2.074,7,Female,-164.7899
157,201006,15,21740,503,54.7,1.178,11,Male,-164.7899
157,201006,15,21740,504,57.5,1.178,12,Female,-164.7899
157,201006,15,21740,514,58.6,1.686,10,Male,-164.7899
157,201006,15,21740,521,51.1,1.186,4,Female,-164.7899
157,201006,15,21740,523,58.0,1.43,9,Male,-164.7899
157,201006,15,21740,555,46.5,0.748,5,Male,-164.7899
157,201006,15,21740,597,45.4,0.736,4,Female,-164.7899
157,201006,15,21740,609,46.3,0.702,4,Male,-164.7899
157,201006,15,21740,511,48.8,0.988,5,Male,-164.7899
157,201006,15,21740,522,52.5,1.01,9,Male,-164.7899
157,201006,15,21740,524,49.0,0.77,5,Male,-164.7899
157,201006,15,21740,542,50.0,1.088,5,Female,-164.7899
157,201006,15,21740,596,55.9,1.236,6,Female,-164.7899
157,201006,15,21740,712,41.9,0.612,3,Female,-164.7899
157,201006,15,21740,713,46.2,0.71,5,Female,-164.7899
157,201006,15,21740,513,47.1,0.654,5,Female,-164.7899
157,201006,15,21740,518,65.1,2.032,9,Female,-164.7899
157,201006,15,21740,528,53.3,1.208,7,Male,-164.7899
157,201006,15,21740,546,34.8,0.342,3,Male,-164.7899
157,201006,15,21740,581,43.9,0.714,4,Male,-164.7899
157,201006,15,21740,595,45.4,0.79,4,Female,-164.7899
157,201006,15,21740,623,49.6,0.818,5,Male,-164.7899
157,201006,15,21740,515,49.1,0.884,6,Female,-164.7899
157,201006,15,21740,516,48.3,0.85,5,Male,-164.7899
157,201006,15,21740,526,41.9,0.622,5,Male,-164.7899
157,201006,15,21740,527,47.8,0.85,6,Female,-164.7899
157,201006,15,21740,563,44.8,0.776,5,Male,-164.7899
157,201006,15,21740,568,53.0,1.096,6,Male,-164.7899
157,201006,15,21740,605,54.8,1.246,9,Male,-164.7899
157,201006,15,21740,613,57.3,1.214,9,Female,-164.7899
157,201006,15,21740,620,53.5,1.27,8,Female,-164.7899
157,201006,15,21740,625,57.0,1.358,9,Male,-164.7899
157,201006,15,21740,638,48.5,0.924,5,Male,-164.7899
157,201006,15,21740,711,47.5,0.856,5,Male,-164.7899
157,201006,15,21740,537,41.6,0.574,3,Female,-164.7899
157,201006,15,21740,598,44.7,0.694,4,Male,-164.7899
157,201006,15,21740,601,58.6,1.516,8,Male,-164.7899
157,201006,15,21740,703,47.0,0.924,5,Male,-164.7899
157,201006,16,21740,864,63.2,1.876,9,Male,-164.7857
157,201006,16,21740,866,57.9,1.102,8,Female,-164.7857
157,201006,16,21740,785,51.1,1.164,7,Male,-164.7857
157,201006,16,21740,790,52.1,1.056,7,Female,-164.7857
157,201006,16,21740,796,55.2,1.332,7,Male,-164.7857
157,201006,16,21740,801,60.1,1.522,9,Female,-164.7857
157,201006,16,21740,803,62.0,1.168,12,Female,-164.7857
157,201006,16,21740,809,36.6,0.416,3,Female,-164.7857
157,201006,16,21740,863,58.2,1.334,8,Male,-164.7857
157,201006,16,21740,865,43.6,0.648,5,Female,-164.7857
157,201006,16,21740,868,49.5,0.886,5,Male,-164.7857
157,201006,16,21740,786,62.6,1.662,12,Female,-164.7857
157,201006,16,21740,794,65.0,1.938,16,Female,-164.7857
157,201006,16,21740,800,57.1,1.426,8,Male,-164.7857
157,201006,16,21740,861,59.4,1.588,10,Female,-164.7857
157,201006,16,21740,780,65.2,1.63,10,Female,-164.7857
157,201006,16,21740,782,33.9,0.314,3,Female,-164.7857
157,201006,16,21740,787,61.2,1.664,10,Male,-164.7857
157,201006,16,21740,795,65.7,2.218,12,Male,-164.7857
157,201006,16,21740,802,61.0,1.868,8,Male,-164.7857
157,201006,16,21740,807,49.6,0.918,5,Female,-164.7857
157,201006,16,21740,859,63.6,1.35,10,Female,-164.7857
157,201006,16,21740,781,59.0,1.6,11,Female,-164.7857
157,201006,16,21740,783,57.8,1.52,9,Male,-164.7857
157,201006,16,21740,810,45.5,0.722,5,Male,-164.7857
157,201006,16,21740,784,58.6,1.388,9,Male,-164.7857
157,201006,16,21740,788,55.0,1.402,6,Female,-164.7857
157,201006,16,21740,792,72.3,2.296,13,Female,-164.7857
157,201006,16,21740,799,52.4,1.384,5,Female,-164.7857
157,201006,16,21740,806,49.8,1.072,6,Male,-164.7857
157,201006,16,21740,811,36.8,0.402,4,Male,-164.7857
157,201006,16,21740,857,60.2,1.776,12,Female,-164.7857
157,201006,16,21740,789,56.5,1.202,12,Male,-164.7857
157,201006,16,21740,791,63.5,1.968,10,Female,-164.7857
157,201006,16,21740,793,54.7,1.006,14,Male,-164.7857
157,201006,16,21740,804,56.1,1.306,7,Female,-164.7857
157,201006,16,21740,808,59.2,1.622,9,Male,-164.7857
157,201006,16,21740,858,63.8,1.75,11,Female,-164.7857
157,201006,16,21740,860,49.1,1.112,5,Female,-164.7857
157,201006,16,21740,862,59.9,1.622,10,Male,-164.7857
157,201006,16,21740,867,66.6,2.274,10,Female,-164.7857
157,201006,16,21740,871,57.6,1.35,9,Female,-164.7857
157,201006,16,21740,797,60.7,1.706,9,Female,-164.7857
157,201006,16,21740,798,61.7,1.514,9,Female,-164.7857
157,201006,16,21740,805,65.7,2.06,9,Female,-164.7857
157,201006,16,21740,869,61.4,1.43,12,Male,-164.7857
157,201006,16,21740,870,59.9,2.236,8,Male,-164.7857
157,201006,18,21740,942,40.5,0.518,4,Male,-165.429
157,201006,18,21740,945,41.9,0.532,4,Female,-165.429
157,201006,18,21740,986,44.4,0.636,4,Male,-165.429
157,201006,18,21740,997,43.6,0.496,5,Female,-165.429
157,201006,18,21740,946,41.3,0.454,4,Male,-165.429
157,201006,18,21740,951,43.4,0.61,4,Female,-165.429
157,201006,18,21740,952,41.0,0.558,4,Female,-165.429
157,201006,18,21740,954,38.7,0.408,4,Female,-165.429
157,201006,18,21740,972,44.6,0.552,5,Female,-165.429
157,201006,18,21740,947,46.7,0.668,5,Male,-165.429
157,201006,18,21740,993,42.6,0.596,4,Female,-165.429
157,201006,18,21740,939,41.5,0.53,4,Male,-165.429
157,201006,18,21740,948,39.9,0.478,5,Male,-165.429
157,201006,18,21740,950,49.0,0.74,5,Male,-165.429
157,201006,18,21740,957,38.4,0.378,5,Female,-165.429
157,201006,18,21740,988,43.5,0.554,5,Male,-165.429
157,201006,18,21740,991,40.7,0.516,4,Female,-165.429
157,201006,18,21740,1000,41.8,0.486,5,Female,-165.429
157,201006,18,21740,940,42.6,0.512,4,Female,-165.429
157,201006,18,21740,944,40.0,0.458,4,Female,-165.429
157,201006,18,21740,958,40.7,0.542,5,Female,-165.429
157,201006,18,21740,960,47.0,0.764,6,Male,-165.429
157,201006,18,21740,943,38.3,0.432,3,Male,-165.429
157,201006,18,21740,949,41.2,0.486,4,Male,-165.429
157,201006,18,21740,953,41.8,0.492,4,Male,-165.429
157,201006,18,21740,955,39.3,0.47,4,Male,-165.429
157,201006,18,21740,956,46.7,0.618,5,Male,-165.429
157,201006,18,21740,1003,38.8,0.408,4,Male,-165.429
157,201006,18,21740,938,45.4,0.584,5,Female,-165.429
157,201006,18,21740,941,44.2,0.654,5,Female,-165.429
157,201006,18,21740,959,41.4,0.5,4,Female,-165.429
157,201006,24,21740,1121,42.2,0.552,4,Male,-166.0346
157,201006,24,21740,1123,42.1,0.566,5,Male,-166.0346
157,201006,24,21740,1127,45.6,0.572,5,Male,-166.0346
157,201006,24,21740,1276,43.9,0.528,5,Female,-166.0346
157,201006,24,21740,1350,41.9,0.534,4,Female,-166.0346
157,201006,24,21740,1360,40.5,0.484,4,Female,-166.0346
157,201006,24,21740,1362,41.6,0.506,5,Male,-166.0346
157,201006,24,21740,1369,42.0,0.508,5,Male,-166.0346
157,201006,24,21740,1122,42.6,0.586,5,Female,-166.0346
157,201006,24,21740,1126,36.9,0.348,4,Female,-166.0346
157,201006,24,21740,1131,41.8,0.598,4,Female,-166.0346
157,201006,24,21740,1277,37.1,0.376,4,Male,-166.0346
157,201006,24,21740,1278,39.3,0.52,4,Female,-166.0346
157,201006,24,21740,1279,45.9,0.776,5,Female,-166.0346
157,201006,24,21740,1286,39.6,0.498,4,Male,-166.0346
157,201006,24,21740,1287,40.6,0.442,4,Male,-166.0346
157,201006,24,21740,1290,36.9,0.43,4,Male,-166.0346
157,201006,24,21740,1364,42.1,0.532,4,Female,-166.0346
157,201006,24,21740,1270,39.3,0.468,3,Female,-166.0346
157,201006,24,21740,1273,44.9,0.572,5,Female,-166.0346
157,201006,24,21740,1280,38.6,0.424,4,Male,-166.0346
157,201006,24,21740,1370,42.0,0.546,4,Male,-166.0346
157,201006,24,21740,1272,42.6,0.548,4,Male,-166.0346
157,201006,24,21740,1285,41.5,0.554,4,Female,-166.0346
157,201006,24,21740,1352,42.2,0.51,4,Female,-166.0346
157,201006,24,21740,1363,39.4,0.45,4,Male,-166.0346
157,201006,24,21740,1128,33.8,0.282,3,Female,-166.0346
157,201006,24,21740,1135,41.7,0.556,4,Female,-166.0346
157,201006,24,21740,1269,42.3,0.564,5,Female,-166.0346
157,201006,24,21740,1274,40.6,0.456,4,Female,-166.0346
157,201006,24,21740,1281,39.3,0.466,4,Male,-166.0346
157,201006,24,21740,1355,40.1,0.456,4,Male,-166.0346
157,201006,24,21740,1357,41.4,0.598,4,Male,-166.0346
157,201006,24,21740,1359,44.1,0.57,4,Female,-166.0346
157,201006,24,21740,1368,43.5,0.56,5,Male,-166.0346
157,201006,24,21740,1124,43.0,0.552,4,Male,-166.0346
157,201006,24,21740,1275,39.9,0.44,4,Female,-166.0346
157,201006,24,21740,1284,44.5,0.564,5,Female,-166.0346
157,201006,24,21740,1289,42.1,0.496,4,Unsexed,-166.0346
157,201006,24,21740,1291,38.9,0.448,4,Female,-166.0346
157,201006,24,21740,1292,50.0,0.934,5,Male,-166.0346
157,201006,24,21740,1353,39.8,0.49,4,Male,-166.0346
157,201006,24,21740,1358,41.1,0.51,4,Male,-166.0346
157,201006,24,21740,1367,42.3,0.532,4,Male,-166.0346
157,201006,24,21740,1130,38.8,0.472,4,Male,-166.0346
157,201006,24,21740,1133,39.9,0.496,4,Male,-166.0346
157,201006,24,21740,1134,40.1,0.458,4,Female,-166.0346
157,201006,24,21740,1271,39.8,0.46,4,Female,-166.0346
157,201006,24,21740,1283,38.1,0.436,4,Female,-166.0346
157,201006,24,21740,1288,42.7,0.568,4,Female,-166.0346
157,201006,24,21740,1356,46.2,0.674,5,Male,-166.0346
157,201006,24,21740,1366,38.1,0.502,4,Male,-166.0346
157,201006,24,21740,1125,37.5,0.394,4,Male,-166.0346
157,201006,24,21740,1129,43.1,0.634,4,Female,-166.0346
157,201006,24,21740,1132,45.4,0.688,4,Female,-166.0346
157,201006,24,21740,1282,40.7,0.538,4,Male,-166.0346
157,201006,24,21740,1351,42.0,0.496,5,Male,-166.0346
157,201006,24,21740,1354,41.6,0.506,6,Female,-166.0346
157,201006,24,21740,1361,39.5,0.486,4,Female,-166.0346
157,201006,24,21740,1365,40.5,0.506,4,Female,-166.0346
157,201006,30,21740,1513,38.8,0.464,4,Male,-167.2681
157,201006,30,21740,1515,41.9,0.572,5,Male,-167.2681
157,201006,30,21740,1521,39.8,0.48,4,Female,-167.2681
157,201006,30,21740,1552,35.7,0.32,3,Male,-167.2681
157,201006,30,21740,1590,48.5,0.858,5,Male,-167.2681
157,201006,30,21740,1594,44.0,0.626,4,Female,-167.2681
157,201006,30,21740,1604,37.6,0.404,4,Male,-167.2681
157,201006,30,21740,1605,39.5,0.478,4,Male,-167.2681
157,201006,30,21740,1691,43.2,0.666,5,Male,-167.2681
157,201006,30,21740,1703,42.1,0.596,5,Male,-167.2681
157,201006,30,21740,1704,41.2,0.57,4,Female,-167.2681
157,201006,30,21740,1710,40.2,0.512,4,Female,-167.2681
157,201006,30,21740,1465,46.7,0.764,6,Female,-167.2681
157,201006,30,21740,1516,37.6,0.41,4,Male,-167.2681
157,201006,30,21740,1517,44.2,0.604,5,Male,-167.2681
157,201006,30,21740,1523,44.4,0.708,4,Male,-167.2681
157,201006,30,21740,1528,42.3,0.554,4,Male,-167.2681
157,201006,30,21740,1599,38.9,0.472,3,Male,-167.2681
157,201006,30,21740,1609,40.7,0.526,4,Female,-167.2681
157,201006,30,21740,1754,39.7,0.488,4,Male,-167.2681
157,201006,30,21740,1540,41.2,0.506,5,Male,-167.2681
157,201006,30,21740,1602,41.0,0.492,4,Male,-167.2681
157,201006,30,21740,1608,40.9,0.492,4,Male,-167.2681
157,201006,30,21740,1611,42.2,0.564,4,Female,-167.2681
157,201006,30,21740,1698,42.8,0.528,5,Female,-167.2681
157,201006,30,21740,1707,43.6,0.6,4,Male,-167.2681
157,201006,30,21740,1711,40.0,0.53,4,Female,-167.2681
157,201006,30,21740,1484,42.9,0.598,6,Male,-167.2681
157,201006,30,21740,1522,40.7,0.488,4,Male,-167.2681
157,201006,30,21740,1525,41.0,0.576,5,Female,-167.2681
157,201006,30,21740,1526,40.3,0.484,4,Male,-167.2681
157,201006,30,21740,1593,43.9,0.662,4,Male,-167.2681
157,201006,30,21740,1600,37.4,0.394,4,Female,-167.2681
157,201006,30,21740,1601,44.0,0.642,5,Male,-167.2681
157,201006,30,21740,1606,38.4,0.43,3,Male,-167.2681
157,201006,30,21740,1627,40.1,0.488,4,Male,-167.2681
157,201006,30,21740,1708,45.1,0.65,6,Female,-167.2681
157,201006,30,21740,1712,40.9,0.56,4,Female,-167.2681
157,201006,30,21740,1524,36.8,0.404,4,Female,-167.2681
157,201006,30,21740,1578,41.8,0.57,4,Female,-167.2681
157,201006,30,21740,1597,42.6,0.608,4,Male,-167.2681
157,201006,30,21740,1607,42.1,0.556,5,Male,-167.2681
157,201006,30,21740,1610,41.9,0.536,5,Female,-167.2681
157,201006,30,21740,1705,44.4,0.7,5,Female,-167.2681
157,201006,30,21740,1494,42.8,0.574,6,Male,-167.2681
157,201006,30,21740,1502,44.0,0.612,5,Male,-167.2681
157,201006,30,21740,1512,44.0,0.624,5,Male,-167.2681
157,201006,30,21740,1520,39.7,0.532,3,Female,-167.2681
157,201006,30,21740,1591,42.2,0.552,6,Female,-167.2681
157,201006,30,21740,1595,42.5,0.534,5,Female,-167.2681
157,201006,30,21740,1702,46.8,0.754,5,Female,-167.2681
157,201006,30,21740,1709,49.0,0.83,6,Male,-167.2681
157,201006,30,21740,1761,43.2,0.584,3,Female,-167.2681
157,201006,30,21740,1789,40.7,0.58,4,Male,-167.2681
157,201006,30,21740,1460,45.5,0.656,5,Female,-167.2681
157,201006,30,21740,1527,40.2,0.504,4,Male,-167.2681
157,201006,30,21740,1596,41.6,0.562,4,Male,-167.2681
157,201006,30,21740,1598,46.4,0.704,4,Male,-167.2681
157,201006,30,21740,1603,42.5,0.56,4,Male,-167.2681
157,201006,30,21740,1701,38.9,0.434,4,Male,-167.2681
157,201006,30,21740,1750,40.5,0.542,4,Female,-167.2681
157,201006,30,21740,1514,40.6,0.518,4,Male,-167.2681
157,201006,30,21740,1518,45.9,0.646,5,Male,-167.2681
157,201006,30,21740,1519,39.0,0.428,4,Male,-167.2681
157,201006,30,21740,1592,36.7,0.364,3,Male,-167.2681
157,201006,30,21740,1612,42.9,0.602,4,Female,-167.2681
157,201006,30,21740,1617,41.5,0.574,4,Male,-167.2681
157,201006,30,21740,1639,38.8,0.426,4,Male,-167.2681
157,201006,30,21740,1674,39.4,0.444,4,Female,-167.2681
157,201006,30,21740,1687,41.3,0.568,4,Male,-167.2681
157,201006,30,21740,1706,43.0,0.562,4,Male,-167.2681
157,201006,31,21740,1846,45.1,0.69,6,Female,-167.8575
157,201006,31,21740,1848,48.8,0.858,5,Male,-167.8575
157,201006,31,21740,1850,41.2,0.504,4,Male,-167.8575
157,201006,31,21740,1863,52.9,0.868,8,Female,-167.8575
157,201006,31,21740,1931,47.6,0.826,5,Male,-167.8575
157,201006,31,21740,1948,43.7,0.608,5,Female,-167.8575
157,201006,31,21740,2028,50.3,0.926,5,Male,-167.8575
157,201006,31,21740,1837,45.3,0.6,5,Female,-167.8575
157,201006,31,21740,1937,50.7,0.998,5,Male,-167.8575
157,201006,31,21740,1971,45.4,0.7,5,Male,-167.8575
157,201006,31,21740,2009,40.4,0.468,5,Male,-167.8575
157,201006,31,21740,2030,43.1,0.55,5,Male,-167.8575
157,201006,31,21740,2031,40.3,0.482,5,Female,-167.8575
157,201006,31,21740,1828,48.1,0.816,5,Male,-167.8575
157,201006,31,21740,1838,42.9,0.526,4,Female,-167.8575
157,201006,31,21740,1855,39.0,0.436,4,Female,-167.8575
157,201006,31,21740,1860,42.8,0.558,4,Female,-167.8575
157,201006,31,21740,1861,48.3,0.78,5,Male,-167.8575
157,201006,31,21740,1867,43.4,0.534,4,Male,-167.8575
157,201006,31,21740,1989,44.6,0.608,4,Male,-167.8575
157,201006,31,21740,2011,46.1,0.626,5,Male,-167.8575
157,201006,31,21740,1836,44.1,0.606,5,Male,-167.8575
157,201006,31,21740,1851,44.6,0.574,5,Female,-167.8575
157,201006,31,21740,1852,60.2,1.548,10,Male,-167.8575
157,201006,31,21740,1868,39.6,0.464,4,Male,-167.8575
157,201006,31,21740,1907,48.7,0.736,5,Female,-167.8575
157,201006,31,21740,2001,46.2,0.718,5,Female,-167.8575
157,201006,31,21740,1831,41.3,0.548,4,Male,-167.8575
157,201006,31,21740,1841,46.2,0.762,5,Female,-167.8575
157,201006,31,21740,1842,46.6,0.742,5,Female,-167.8575
157,201006,31,21740,1843,46.7,0.682,5,Female,-167.8575
157,201006,31,21740,1844,46.8,0.768,6,Female,-167.8575
157,201006,31,21740,1857,46.2,0.7,6,Female,-167.8575
157,201006,31,21740,1862,49.8,0.886,5,Male,-167.8575
157,201006,31,21740,1880,48.6,0.896,5,Female,-167.8575
